dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,19.0,0 1 2,-1,
base,active,,0.0,22.0,3 4 5 6 7 8 9 10 11 12,-1,
base,active,,19.0,80.0,0 1 2,1,False
base,switching_off,,22.0,27.0,3 4 5 6 7 8 9 10 11 12,-2,
base,sleeping,,27.0,1118.0,3 4 5 6 7 8 9 10 11 12,-4,
base,active,,80.0,137.0,0,3,True
base,active,,80.0,195.0,1 2,5,True
base,active,,137.0,206.0,0,8,True
base,active,,195.0,248.0,1 2,13,True
base,active,,206.0,207.0,0,17,False
base,active,,207.0,228.0,0,-1,
base,switching_off,,228.0,233.0,0,-2,
base,sleeping,,233.0,1118.0,0,-4,
base,active,,248.0,299.0,1 2,15,True
base,active,,299.0,411.0,1 2,20,True
base,active,,411.0,475.0,1 2,21,False
base,active,,475.0,512.0,2,27,True
base,active,,475.0,533.0,1,22,True
base,active,,512.0,640.0,2,31,True
base,active,,533.0,547.0,1,32,True
base,active,,547.0,733.0,1,33,True
base,active,,640.0,814.0,2,36,False
base,active,,733.0,871.0,1,58,True
base,active,,814.0,852.0,2,67,False
base,active,,852.0,916.0,2,70,False
base,active,,871.0,986.0,1,72,False
base,active,,916.0,1000.0,2,79,True
base,active,,986.0,1091.0,1,95,True
base,active,,1000.0,1055.0,2,98,True
base,active,,1055.0,1077.0,2,-1,
base,switching_off,,1077.0,1082.0,2,-2,
base,sleeping,,1082.0,1118.0,2,-4,
base,active,,1091.0,1113.0,1,-1,
base,switching_off,,1113.0,1118.0,1,-2,
