id,energy_consumption,energy_effective,energy_waste
0,234431459.0,163056100.0,71375359.0
1,236697760.0,169483800.0,67213960.0
2,236121637.0,168388070.0,67733567.0
3,235803982.0,168135750.0,67668232.0
4,234965047.0,169127550.0,65837497.0
5,234610106.0,168567620.0,66042486.0
6,232608065.0,163419950.0,69188115.0
7,232546525.0,164186030.0,68360495.0
8,230685121.0,163164780.0,67520341.0
9,231087846.0,165459410.0,65628436.0
10,230918792.0,165204810.0,65713982.0
11,230626115.0,164955150.0,65670965.0
12,230520049.0,164530310.0,65989739.0
13,230520049.0,164527080.0,65992969.0
14,229936505.0,164778450.0,65158055.0
15,229879128.0,164736840.0,65142288.0
16,231953207.0,168226190.0,63727017.0
17,231949044.0,167522240.0,64426804.0
18,229326535.0,162769580.0,66556955.0
19,229322372.0,162451140.0,66871232.0
20,229665910.0,164364440.0,65301470.0
21,229654869.0,164362160.0,65292709.0
22,229649620.0,163427170.0,66222450.0
23,229269882.0,164285400.0,64984482.0
24,229261918.0,163937510.0,65324408.0
25,228333026.0,162202240.0,66130786.0
26,228325243.0,162229030.0,66096213.0
27,228325243.0,162684080.0,65641163.0
28,230429911.0,167221850.0,63208061.0
29,230511904.0,167868040.0,62643864.0
30,228768150.0,163222160.0,65545990.0
31,228768150.0,163233750.0,65534400.0
32,229871888.0,166989100.0,62882788.0
33,229425904.0,166021050.0,63404854.0
34,227664412.0,165381890.0,62282522.0
35,226619680.0,164042010.0,62577670.0
36,223103031.0,157447110.0,65655921.0
37,222908637.0,157889240.0,65019397.0
38,222977960.0,155992660.0,66985300.0
39,222567452.0,158153910.0,64413542.0
40,224197176.0,161778350.0,62418826.0
41,224063598.0,161307150.0,62756448.0
42,223129276.0,160763370.0,62365906.0
43,223068279.0,160994220.0,62074059.0
44,220383325.0,154788250.0,65595075.0
45,220709125.0,155602020.0,65107105.0
46,221586251.0,155330510.0,66255741.0
47,221590776.0,155121130.0,66469646.0
48,223518607.0,159619000.0,63899607.0
49,223403129.0,159131270.0,64271859.0
50,222145179.0,158300590.0,63844589.0
51,222142645.0,158157330.0,63985315.0
52,221449053.0,157415950.0,64033103.0
53,221330498.0,157229560.0,64100938.0
54,221326516.0,156994530.0,64331986.0
55,220773923.0,156850320.0,63923603.0
56,220772113.0,156049850.0,64722263.0
57,220041778.0,155910200.0,64131578.0
58,219374974.0,155317780.0,64057194.0
59,219896797.0,153735270.0,66161527.0
60,220243050.0,155332790.0,64910260.0
61,220974109.0,157308030.0,63666079.0
62,219882317.0,154831380.0,65050937.0
63,219924852.0,154563100.0,65361752.0
64,201348822.0,119982340.0,81366482.0
65,196275573.0,113220240.0,83055333.0
66,196149597.0,114131480.0,82018117.0
67,198402323.0,113376040.0,85026283.0
68,187230641.0,94269450.0,92961191.0
69,189803918.0,97744930.0,92058988.0
70,190914172.0,100653260.0,90260912.0
71,189706540.0,100490810.0,89215730.0
72,195724971.0,105597440.0,90127531.0
73,193917867.0,106122030.0,87795837.0
74,193183007.0,105880920.0,87302087.0
75,193005446.0,105108950.0,87896496.0
76,191292100.0,103037570.0,88254530.0
77,191286127.0,102965560.0,88320567.0
78,190122840.0,101215090.0,88907750.0
79,189439203.0,101175000.0,88264203.0
80,188813305.0,100168950.0,88644355.0
81,184483604.0,97260620.0,87222984.0
82,183909834.0,96513730.0,87396104.0
83,182661296.0,94853510.0,87807786.0
84,179834981.0,93540420.0,86294561.0
85,174005333.0,88635000.0,85370333.0
86,173635188.0,88239420.0,85395768.0
87,172432262.0,87177130.0,85255132.0
88,174820738.0,92307890.0,82512848.0
89,178224262.0,95233510.0,82990752.0
90,178361822.0,94612400.0,83749422.0
91,178243629.0,94579720.0,83663909.0
92,178639476.0,95735870.0,82903606.0
93,179701403.0,96326580.0,83374823.0
94,178144803.0,93516290.0,84628513.0
95,178267521.0,94246650.0,84020871.0
96,175450980.0,84111290.0,91339690.0
97,177513475.0,87389550.0,90123925.0
98,176077421.0,86791240.0,89286181.0
99,172944311.0,84496610.0,88447701.0
100,171792789.0,80837210.0,90955579.0
101,163832047.0,73776810.0,90055237.0
102,161496785.0,73724750.0,87772035.0
103,162040147.0,73615690.0,88424457.0
104,159665427.0,74186070.0,85479357.0
105,152149764.0,68448450.0,83701314.0
106,154810645.0,71395730.0,83414915.0
107,154350724.0,71434870.0,82915854.0
108,151846046.0,65214840.0,86631206.0
109,150716244.0,65728220.0,84988024.0
110,148606689.0,64413420.0,84193269.0
111,150219942.0,66525840.0,83694102.0
112,150681673.0,62016950.0,88664723.0
113,147811375.0,60423420.0,87387955.0
114,146234684.0,59020650.0,87214034.0
115,141202341.0,54208140.0,86994201.0
116,143116959.0,53796030.0,89320929.0
117,143880236.0,56789670.0,87090566.0
118,141173019.0,53555110.0,87617909.0
119,136692364.0,47146410.0,89545954.0
120,136489101.0,46126110.0,90362991.0
121,134311671.0,44502180.0,89809491.0
122,132659141.0,44965590.0,87693551.0
123,135546815.0,48229600.0,87317215.0
124,131772422.0,47299550.0,84472872.0
125,130135096.0,44046940.0,86088156.0
126,124695322.0,40717190.0,83978132.0
127,120521100.0,41406510.0,79114590.0
