job_id,type,nodes,start_time,subtime,actual_finish_time,req_finish_time,terminated,finish_time
2,execution_finished,"[3, 4, 5]",2.0,2,11.0,13.0,False,11.0
6,execution_finished,[11],11.0,11,33.0,35.0,False,33.0
1,execution_finished,"[0, 1, 2]",2.0,2,38.0,40.0,False,38.0
9,execution_finished,[12],17.0,17,51.0,54.0,False,51.0
4,execution_finished,"[9, 10]",7.0,7,53.0,55.0,False,53.0
3,execution_finished,"[6, 7, 8]",7.0,7,63.0,64.0,False,63.0
8,execution_finished,"[9, 10, 12]",53.0,13,66.0,67.0,False,66.0
5,execution_finished,"[3, 4, 5]",11.0,10,70.0,72.0,False,70.0
24,execution_finished,[11],48.0,41,77.0,78.0,False,77.0
17,execution_finished,"[5, 11]",77.0,27,78.0,78.0,False,78.0
7,execution_finished,"[0, 1, 2]",38.0,12,79.0,80.0,False,79.0
14,execution_finished,"[3, 4]",70.0,24,94.0,95.0,False,94.0
12,execution_finished,"[6, 7]",63.0,22,96.0,98.0,False,96.0
10,execution_finished,"[8, 9, 10, 12]",66.0,17,102.0,103.0,False,102.0
11,execution_finished,"[0, 1, 2, 5, 11]",79.0,17,116.0,118.0,False,116.0
15,execution_finished,"[3, 4]",94.0,26,140.0,142.0,False,140.0
13,execution_finished,"[7, 8, 9, 10, 12]",102.0,23,150.0,151.0,False,150.0
27,execution_finished,[6],96.0,45,151.0,152.0,False,151.0
18,execution_finished,"[5, 11]",116.0,29,171.0,171.0,False,171.0
23,execution_finished,"[3, 4]",140.0,38,171.0,173.0,False,171.0
16,execution_finished,"[0, 1, 2]",116.0,27,182.0,184.0,False,182.0
19,execution_finished,"[7, 8, 9]",150.0,31,184.0,184.0,False,184.0
20,execution_finished,"[6, 10, 12]",151.0,33,192.0,192.0,False,192.0
25,execution_finished,"[7, 8, 9]",184.0,42,213.0,214.0,False,213.0
29,execution_finished,[12],192.0,47,220.0,222.0,False,220.0
21,execution_finished,"[3, 4, 5, 11]",171.0,36,222.0,221.0,True,221.0
22,execution_finished,"[0, 1, 2]",182.0,37,222.0,224.0,False,222.0
28,execution_finished,"[7, 8, 9]",213.0,46,252.0,255.0,False,252.0
32,execution_finished,"[0, 1]",222.0,58,254.0,255.0,False,254.0
30,execution_finished,"[3, 4]",221.0,51,255.0,256.0,False,255.0
39,execution_finished,"[3, 4]",255.0,67,261.0,263.0,False,261.0
86,execution_finished,"[3, 4]",261.0,166,262.0,262.0,False,262.0
26,execution_finished,"[6, 10]",192.0,43,264.0,265.0,False,264.0
38,execution_finished,[2],222.0,66,265.0,266.0,False,265.0
31,execution_finished,"[5, 11]",221.0,52,273.0,274.0,False,273.0
36,execution_finished,[12],220.0,64,293.0,296.0,False,293.0
33,execution_finished,"[7, 8]",252.0,59,294.0,296.0,False,294.0
41,execution_finished,[2],265.0,73,298.0,298.0,False,298.0
34,execution_finished,"[0, 1, 9]",254.0,61,318.0,319.0,False,318.0
37,execution_finished,"[5, 11]",273.0,65,319.0,320.0,False,319.0
40,execution_finished,"[2, 7, 8, 12]",298.0,71,324.0,324.0,False,324.0
35,execution_finished,"[3, 4, 6, 10]",264.0,64,325.0,325.0,False,325.0
43,execution_finished,"[5, 11]",319.0,77,347.0,349.0,False,347.0
44,execution_finished,"[2, 7, 8]",324.0,80,347.0,348.0,False,347.0
54,execution_finished,"[7, 8]",347.0,96,354.0,356.0,False,354.0
57,execution_finished,"[7, 8]",354.0,101,359.0,361.0,False,359.0
48,execution_finished,[9],318.0,90,364.0,364.0,False,364.0
47,execution_finished,"[7, 8, 9, 11]",364.0,88,367.0,369.0,False,367.0
64,execution_finished,[10],325.0,111,368.0,370.0,False,368.0
