dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,2.0,0 1 2 3 4 5,-1,
base,active,,0.0,7.0,6 7 8 9 10,-1,
base,active,,0.0,11.0,11,-1,
base,active,,0.0,17.0,12,-1,
base,active,,2.0,11.0,3 4 5,2,False
base,active,,2.0,38.0,0 1 2,1,False
base,active,,7.0,53.0,9 10,4,False
base,active,,7.0,63.0,6 7 8,3,False
base,active,,11.0,33.0,11,6,False
base,active,,11.0,70.0,3 4 5,5,False
base,active,,17.0,51.0,12,9,False
base,active,,33.0,38.0,11,-1,
base,switching_off,,38.0,43.0,11,-2,
base,active,,38.0,79.0,0 1 2,7,False
base,switching_on,,43.0,48.0,11,-3,
base,active,,48.0,77.0,11,24,False
base,active,,51.0,53.0,12,-1,
base,active,,53.0,66.0,9 10 12,8,False
base,active,,63.0,66.0,8,-1,
base,active,,63.0,96.0,6 7,12,False
base,active,,66.0,102.0,8 9 10 12,10,False
base,active,,70.0,77.0,5,-1,
base,active,,70.0,94.0,3 4,14,False
base,active,,77.0,78.0,5 11,17,False
base,active,,78.0,79.0,5 11,-1,
base,active,,79.0,116.0,0 1 2 5 11,11,False
base,active,,94.0,140.0,3 4,15,False
base,active,,96.0,102.0,7,-1,
base,active,,96.0,151.0,6,27,False
base,active,,102.0,150.0,7 8 9 10 12,13,False
base,active,,116.0,171.0,5 11,18,False
base,active,,116.0,182.0,0 1 2,16,False
base,active,,140.0,171.0,3 4,23,False
base,active,,150.0,151.0,10 12,-1,
base,active,,150.0,184.0,7 8 9,19,False
base,active,,151.0,192.0,6 10 12,20,False
base,active,,171.0,221.0,3 4 5 11,21,True
base,active,,182.0,222.0,0 1 2,22,False
base,active,,184.0,213.0,7 8 9,25,False
base,active,,192.0,220.0,12,29,False
base,active,,192.0,264.0,6 10,26,False
base,active,,213.0,252.0,7 8 9,28,False
base,active,,220.0,293.0,12,36,False
base,active,,221.0,255.0,3 4,30,False
base,active,,221.0,273.0,5 11,31,False
base,active,,222.0,254.0,0 1,32,False
base,active,,222.0,265.0,2,38,False
base,active,,252.0,254.0,9,-1,
base,active,,252.0,294.0,7 8,33,False
base,active,,254.0,318.0,0 1 9,34,False
base,active,,255.0,261.0,3 4,39,False
base,active,,261.0,262.0,3 4,86,False
base,active,,262.0,264.0,3 4,-1,
base,active,,264.0,325.0,3 4 6 10,35,False
base,active,,265.0,298.0,2,41,False
base,active,,273.0,319.0,5 11,37,False
base,active,,293.0,298.0,12,-1,
base,active,,294.0,298.0,7 8,-1,
base,active,,298.0,324.0,2 7 8 12,40,False
base,active,,318.0,364.0,9,48,False
base,active,,318.0,380.0,0 1,42,False
base,active,,319.0,347.0,5 11,43,False
base,active,,324.0,347.0,2 7 8,44,False
base,active,,324.0,370.0,12,51,False
base,active,,325.0,368.0,10,64,False
base,active,,325.0,395.0,3 4 6,45,False
base,active,,347.0,354.0,7 8,54,False
base,active,,347.0,364.0,11,-1,
base,active,,347.0,419.0,2 5,46,False
base,active,,354.0,359.0,7 8,57,False
base,active,,359.0,364.0,7 8,-1,
base,active,,364.0,367.0,7 8 9 11,47,False
base,active,,367.0,370.0,11,-1,
base,active,,367.0,396.0,7 8 9,49,False
