id,state_history
0,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 6, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 6, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 62.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 62.0, 'finish_time': 62.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 62.0, 'finish_time': 146.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 146.0, 'finish_time': 146.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 146.0, 'finish_time': 158.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 158.0, 'finish_time': 158.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 158.0, 'finish_time': 208.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 208.0, 'finish_time': 221.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 221.0, 'finish_time': 226.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 226.0, 'finish_time': 1991.0, 'dvfs_mode': 'base'}]"
1,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 6, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 6, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 62.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 62.0, 'finish_time': 62.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 62.0, 'finish_time': 146.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 146.0, 'finish_time': 146.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 146.0, 'finish_time': 158.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 158.0, 'finish_time': 158.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 158.0, 'finish_time': 208.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 208.0, 'finish_time': 221.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 221.0, 'finish_time': 226.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 226.0, 'finish_time': 1991.0, 'dvfs_mode': 'base'}]"
2,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 6, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 6, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 62.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 62.0, 'finish_time': 62.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 62.0, 'finish_time': 146.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 146.0, 'finish_time': 146.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 146.0, 'finish_time': 158.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 158.0, 'finish_time': 158.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 158.0, 'finish_time': 208.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 208.0, 'finish_time': 221.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 221.0, 'finish_time': 226.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 226.0, 'finish_time': 1991.0, 'dvfs_mode': 'base'}]"
3,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 6, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 6, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 62.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 62.0, 'finish_time': 62.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 62.0, 'finish_time': 146.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 146.0, 'finish_time': 146.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 146.0, 'finish_time': 158.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 158.0, 'finish_time': 158.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 158.0, 'finish_time': 208.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 208.0, 'finish_time': 221.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 221.0, 'finish_time': 226.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 226.0, 'finish_time': 1991.0, 'dvfs_mode': 'base'}]"
4,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 6, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 6, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 62.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 62.0, 'finish_time': 62.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 62.0, 'finish_time': 146.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 146.0, 'finish_time': 158.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 158.0, 'finish_time': 208.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 208.0, 'finish_time': 221.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 221.0, 'finish_time': 226.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 226.0, 'finish_time': 1991.0, 'dvfs_mode': 'base'}]"
5,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 6, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 6, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 62.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 62.0, 'finish_time': 62.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 62.0, 'finish_time': 146.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 146.0, 'finish_time': 159.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 159.0, 'finish_time': 164.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 164.0, 'finish_time': 1991.0, 'dvfs_mode': 'base'}]"
6,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 6, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 6, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 62.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 62.0, 'finish_time': 75.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 75.0, 'finish_time': 80.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 80.0, 'finish_time': 1991.0, 'dvfs_mode': 'base'}]"
7,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 6, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 6, 'finish_time': 33.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 33.0, 'finish_time': 46.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 46.0, 'finish_time': 51.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 51.0, 'finish_time': 1991.0, 'dvfs_mode': 'base'}]"
8,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 13, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 13, 'finish_time': 18, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 18, 'finish_time': 1991.0, 'dvfs_mode': 'base'}]"
9,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 13, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 13, 'finish_time': 18, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 18, 'finish_time': 1991.0, 'dvfs_mode': 'base'}]"
