job_id,type,nodes,start_time,subtime,actual_finish_time,req_finish_time,terminated,finish_time
1,execution_finished,"[0, 1, 2, 3, 4, 5, 6]",12.0,12,67.0,65.0,False,67.0
2,execution_finished,"[7, 8, 9, 10, 11, 12]",35.0,30,97.0,95.0,False,97.0
3,execution_finished,"[13, 14, 15, 16, 17, 18, 19]",36.0,31,97.0,97.0,False,97.0
5,execution_finished,"[6, 20, 21, 22, 23]",72.0,47,138.0,133.0,False,138.0
4,execution_finished,"[0, 1, 2, 3, 4, 5]",67.0,45,140.0,140.0,False,140.0
6,execution_finished,"[7, 8, 9, 10, 11, 12]",97.0,47,177.0,178.0,False,177.0
7,execution_finished,"[13, 14, 15, 16, 17, 18]",97.0,60,177.0,171.0,False,177.0
8,execution_finished,"[6, 20, 21, 22, 23, 19, 24]",143.0,70,177.0,177.0,False,177.0
11,execution_finished,"[18, 19, 20, 21, 22]",177.0,129,216.0,218.0,False,216.0
10,execution_finished,"[13, 14, 15, 16, 17]",177.0,120,226.0,225.0,False,226.0
9,execution_finished,"[6, 7, 8, 9, 10, 11, 12]",177.0,87,234.0,234.0,False,234.0
13,execution_finished,"[18, 19, 20, 21, 22, 3]",221.0,132,276.0,279.0,False,276.0
12,execution_finished,"[23, 24, 0, 1, 2]",182.0,129,287.0,285.0,False,287.0
14,execution_finished,"[13, 14, 15, 16, 17, 4]",231.0,154,289.0,287.0,False,289.0
15,execution_finished,"[6, 7, 8, 9, 10]",234.0,172,311.0,307.0,False,311.0
16,execution_finished,"[3, 18, 19, 20]",276.0,192,333.0,332.0,False,333.0
17,execution_finished,"[0, 1, 2, 21, 22, 23]",287.0,230,333.0,331.0,False,333.0
18,execution_finished,"[4, 13, 14, 15, 16]",289.0,234,345.0,342.0,False,345.0
19,execution_finished,"[6, 7, 8, 9, 10, 5]",316.0,241,361.0,361.0,False,361.0
23,execution_finished,"[5, 6, 7, 8]",361.0,350,405.0,404.0,False,405.0
20,execution_finished,"[11, 12, 17, 24]",319.0,270,407.0,408.0,False,407.0
21,execution_finished,"[0, 1, 2, 3, 18]",333.0,275,407.0,406.0,False,407.0
22,execution_finished,"[4, 13, 14, 15, 16, 19, 20]",345.0,276,426.0,424.0,False,426.0
25,execution_finished,"[6, 7, 8, 11, 12]",420.0,420,475.0,481.0,False,475.0
24,execution_finished,"[0, 1, 2, 3, 5]",417.0,417,488.0,488.0,False,488.0
27,execution_finished,"[4, 13, 14, 15, 16, 19]",426.0,426,492.0,490.0,False,492.0
26,execution_finished,"[17, 18, 24, 9, 10]",426.0,421,505.0,504.0,False,505.0
28,execution_finished,"[20, 21, 22, 23]",449.0,444,506.0,506.0,False,506.0
32,execution_finished,"[16, 19]",501.0,501,547.0,543.0,False,547.0
29,execution_finished,"[0, 1, 2, 3, 5, 6]",488.0,452,551.0,548.0,False,551.0
30,execution_finished,"[7, 8, 11, 12]",488.0,467,555.0,558.0,False,555.0
31,execution_finished,"[4, 13, 14, 15]",492.0,482,557.0,563.0,False,557.0
33,execution_finished,"[9, 10, 17, 18, 20]",518.0,518,591.0,590.0,False,591.0
