folder,total_energy_waste,total_waiting_time
300,7919918443.0,3292.372440509131
600,8396795736.0,2001.0639180962921
900,8276493111.0,1969.5304371887105
1200,8570625618.0,1498.6654676258993
1500,9080703735.0,1162.8206972883231
1800,9504263542.0,1071.1081903707802
2100,9718621799.0,1018.8270614277809
2400,9885322448.0,885.8945766463752
2700,10139033721.0,817.4878251245158
3000,10489008050.0,769.5863309352518
