job_id,type,nodes,start_time,subtime,actual_finish_time,req_finish_time,terminated,finish_time
1,execution_finished,"[0, 1, 2, 3, 4, 5]",10.0,10,122.0,122.0,False,122.0
2,execution_finished,"[0, 1, 2, 3, 4]",122.0,18,222.0,223.0,False,222.0
4,execution_finished,"[0, 1, 2, 3]",222.0,24,325.0,323.0,True,323.0
5,execution_finished,"[0, 1, 2, 3]",323.0,26,518.0,518.0,False,518.0
17,execution_finished,"[0, 1, 2, 3]",518.0,120,632.0,633.0,False,632.0
21,execution_finished,"[0, 1, 2, 3]",632.0,244,787.0,786.0,True,786.0
23,execution_finished,"[0, 1, 2, 3]",786.0,248,925.0,924.0,True,924.0
38,execution_finished,"[0, 1, 2, 3]",924.0,379,1045.0,1044.0,True,1044.0
41,execution_finished,"[0, 1, 2]",1044.0,444,1176.0,1174.0,True,1174.0
