dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,4.0,0 1 2 3,-1,
base,active,,0.0,12.0,4 5 6 7 8 9,-1,
base,active,,0.0,21.0,10 11 12 13 14 15 16 17,-1,
base,active,,4.0,51.0,0 1 2 3,1,False
base,active,,12.0,83.0,4 5 6,2,False
base,active,,12.0,92.0,7 8 9,3,False
base,switching_off,,21.0,26.0,10 11 12 13 14 15 16 17,-2,
base,switching_on,,26.0,31.0,10 11 12 13 14,-3,
base,sleeping,,26.0,38.0,15 16 17,-4,
base,active,,31.0,45.0,10 11 12 13 14,4,False
base,switching_on,,38.0,43.0,15 16 17,-3,
base,active,,43.0,44.0,15 16 17,8,True
base,active,,44.0,162.0,15 16 17,9,True
base,active,,45.0,66.0,14,-1,
base,active,,45.0,81.0,10 11 12 13,5,True
base,active,,51.0,111.0,0 1 2 3,6,False
base,switching_off,,66.0,71.0,14,-2,
base,sleeping,,71.0,92.0,14,-4,
base,active,,81.0,83.0,10 11 12 13,-1,
base,active,,83.0,114.0,4 5 6 10 11 12 13,7,True
base,active,,92.0,97.0,7 8 9,-1,
base,switching_on,,92.0,97.0,14,-3,
base,active,,97.0,98.0,7 8 9 14,14,True
base,active,,98.0,111.0,7 8,-1,
base,active,,98.0,113.0,9,-1,
base,active,,98.0,114.0,14,-1,
base,active,,111.0,186.0,0 1 2 3 7 8,10,False
base,switching_off,,113.0,118.0,9,-2,
base,active,,114.0,137.0,12 13 14,12,True
base,active,,114.0,233.0,4 5 6 10 11,11,True
base,sleeping,,118.0,163.0,9,-4,
base,active,,137.0,158.0,12 13 14,-1,
base,switching_off,,158.0,163.0,12 13 14,-2,
base,active,,162.0,168.0,15 16 17,-1,
base,switching_on,,163.0,168.0,9 12,-3,
base,sleeping,,163.0,186.0,13 14,-4,
base,active,,168.0,213.0,9 12 15 16 17,13,True
base,active,,186.0,191.0,8,-1,
base,switching_on,,186.0,191.0,13 14,-3,
base,active,,186.0,196.0,0 1 2 3 7,15,False
base,active,,191.0,267.0,8 13 14,24,True
base,active,,196.0,217.0,0 1 2 3 7,16,True
base,active,,213.0,354.0,9 12 15 16 17,17,True
base,switching_off,,217.0,222.0,7,-2,
base,active,,217.0,245.0,0 1 2 3,18,False
base,sleeping,,222.0,267.0,7,-4,
base,active,,233.0,298.0,4 5 6 10 11,19,True
base,active,,245.0,352.0,0 1 2 3,20,True
base,active,,267.0,272.0,8 13 14,-1,
base,switching_on,,267.0,272.0,7,-3,
base,active,,272.0,390.0,7 8 13 14,21,True
base,active,,298.0,319.0,11,-1,
base,active,,298.0,399.0,4 5 6 10,22,False
base,switching_off,,319.0,324.0,11,-2,
base,sleeping,,324.0,390.0,11,-4,
base,active,,352.0,354.0,3,-1,
base,active,,352.0,405.0,0 1 2,26,False
base,active,,354.0,396.0,3 9 12 15 16 17,23,True
base,active,,390.0,395.0,7 8 13 14,-1,
base,switching_on,,390.0,395.0,11,-3,
base,active,,395.0,419.0,7 8 11 13 14,25,True
base,active,,396.0,405.0,17,-1,
base,active,,396.0,476.0,3 9 12 15 16,27,False
base,active,,399.0,428.0,4 5 6 10,28,False
base,active,,405.0,576.0,0 1 2 17,30,True
base,active,,419.0,482.0,7 8 11 13 14,29,True
base,active,,428.0,449.0,10,-1,
base,active,,428.0,549.0,4 5 6,31,True
base,switching_off,,449.0,454.0,10,-2,
base,sleeping,,454.0,567.0,10,-4,
base,active,,476.0,497.0,16,-1,
base,active,,476.0,607.0,3 9 12 15,32,True
base,active,,482.0,566.0,7 8 11 13 14,33,True
base,switching_off,,497.0,502.0,16,-2,
base,sleeping,,502.0,576.0,16,-4,
base,active,,549.0,567.0,4 5 6,34,True
base,active,,566.0,678.0,7 8 11 13 14,35,True
base,active,,567.0,572.0,4 5 6,-1,
base,switching_on,,567.0,572.0,10,-3,
base,active,,572.0,636.0,4 5 6 10,36,True
base,active,,576.0,581.0,0 1 2 17,-1,
base,switching_on,,576.0,581.0,16,-3,
base,active,,581.0,690.0,0 1 2 16 17,37,False
base,active,,607.0,620.0,3 9 12 15,45,True
base,active,,620.0,628.0,15,-1,
base,active,,620.0,675.0,3 9 12,55,False
