dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,5.0,0 1 2 3,-1,
base,active,,0.0,7.0,4 5 6 7,-1,
base,active,,0.0,25.0,8 9 10 11 12 13 14 15 16,-1,
base,active,,5.0,74.0,0 1 2 3,1,False
base,active,,7.0,171.0,4 5 6 7,2,False
base,switching_off,,25.0,30.0,8 9 10 11 12 13 14 15 16,-2,
base,switching_on,,30.0,35.0,8 9 10 11 12 13 14,-3,
base,sleeping,,30.0,97.0,15,-4,
base,sleeping,,30.0,171.0,16,-4,
base,active,,35.0,97.0,8 9 10 11,3,False
base,active,,35.0,145.0,12 13 14,4,False
base,active,,74.0,113.0,0 1 2 3,5,False
base,active,,97.0,102.0,8 9 10 11,-1,
base,switching_on,,97.0,102.0,15,-3,
base,active,,102.0,132.0,8 9 10 11 15,6,False
base,active,,113.0,132.0,0 1 2 3,-1,
base,active,,132.0,145.0,15,-1,
base,active,,132.0,232.0,10 11,8,False
base,active,,132.0,320.0,0 1 2 3 8 9,7,False
base,active,,145.0,304.0,12 13 14 15,9,False
base,active,,171.0,176.0,4 5 6 7,-1,
base,switching_on,,171.0,176.0,16,-3,
base,active,,176.0,273.0,4 5 6 7 16,10,False
base,active,,232.0,257.0,10 11,-1,
base,switching_off,,257.0,262.0,10 11,-2,
base,sleeping,,262.0,273.0,10,-4,
base,sleeping,,262.0,410.0,11,-4,
base,active,,273.0,278.0,7 16,-1,
base,switching_on,,273.0,278.0,10,-3,
base,active,,273.0,417.0,4 5 6,11,False
base,active,,278.0,318.0,7 10 16,12,False
base,active,,304.0,379.0,12 13 14 15,13,False
base,active,,318.0,367.0,7 10 16,14,False
base,active,,320.0,345.0,9,-1,
base,active,,320.0,410.0,0 1 2 3 8,15,False
base,switching_off,,345.0,350.0,9,-2,
base,sleeping,,350.0,367.0,9,-4,
base,active,,367.0,372.0,7 10 16,-1,
base,switching_on,,367.0,372.0,9,-3,
base,active,,372.0,473.0,7 9 10 16,16,False
base,active,,379.0,447.0,12 13 14 15,17,False
base,active,,410.0,415.0,8,-1,
base,switching_on,,410.0,415.0,11,-3,
base,active,,410.0,530.0,0 1 2 3,18,False
base,active,,415.0,602.0,8 11,19,False
base,active,,417.0,524.0,4 5 6,20,False
base,active,,447.0,487.0,12 13,21,False
base,active,,447.0,577.0,14 15,22,False
base,active,,473.0,487.0,7 9 10,-1,
base,active,,473.0,498.0,16,-1,
base,active,,487.0,607.0,7 9 10 12 13,23,False
base,switching_off,,498.0,503.0,16,-2,
base,sleeping,,503.0,530.0,16,-4,
base,active,,524.0,569.0,4 5 6,24,False
base,active,,530.0,535.0,0 1 2 3,-1,
base,switching_on,,530.0,535.0,16,-3,
base,active,,535.0,672.0,0 1 2 3 16,25,False
base,active,,569.0,577.0,6,-1,
base,active,,569.0,673.0,4 5,26,False
base,active,,577.0,684.0,6 14 15,27,False
base,active,,602.0,607.0,8 11,-1,
base,active,,607.0,727.0,7 8 9,28,False
base,active,,607.0,739.0,10 11 12 13,29,False
base,active,,672.0,696.0,0 1,30,False
base,active,,672.0,747.0,2 3 16,31,False
base,active,,673.0,696.0,4 5,-1,
base,active,,684.0,696.0,6 14 15,-1,
base,active,,696.0,875.0,0 1 4 5 6 14 15,32,False
base,active,,727.0,739.0,7 8 9,-1,
