id,energy_consumption,energy_effective,energy_waste
0,19317683.0,2602620.0,16715063.0
1,19317683.0,2602620.0,16715063.0
2,19317683.0,2602620.0,16715063.0
3,19317683.0,2602620.0,16715063.0
4,19317683.0,2602620.0,16715063.0
5,19317683.0,2500970.0,16816713.0
6,19105370.0,2416610.0,16688760.0
7,18850703.0,1730520.0,17120183.0
8,16567569.0,1029040.0,15538529.0
9,11826998.0,526680.0,11300318.0
10,10887427.0,416480.0,10470947.0
11,10887427.0,404700.0,10482727.0
12,10887427.0,404700.0,10482727.0
13,9933014.0,372590.0,9560424.0
14,9406123.0,353020.0,9053103.0
15,8229623.0,276640.0,7952983.0
16,7313763.0,224390.0,7089373.0
17,4742477.0,90440.0,4652037.0
18,2686136.0,22610.0,2663526.0
19,2245220.0,16720.0,2228500.0
20,2245220.0,16720.0,2228500.0
21,2245220.0,16720.0,2228500.0
22,2245220.0,16720.0,2228500.0
23,2245220.0,16720.0,2228500.0
24,2245220.0,16720.0,2228500.0
25,1803761.0,10260.0,1793501.0
26,1803761.0,10260.0,1793501.0
27,1358682.0,0.0,1358682.0
28,1358682.0,0.0,1358682.0
29,1358682.0,0.0,1358682.0
30,1358682.0,0.0,1358682.0
31,1358682.0,0.0,1358682.0
