id,state_history
0,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 12, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 12, 'finish_time': 99.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 99.0, 'finish_time': 99.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 99.0, 'finish_time': 129.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 129, 'finish_time': 129, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 129, 'finish_time': 152.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 152.0, 'finish_time': 152.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 152.0, 'finish_time': 238.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 238, 'finish_time': 238, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 238, 'finish_time': 289.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 289.0, 'finish_time': 289.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 289.0, 'finish_time': 305.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 305.0, 'finish_time': 305.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 305.0, 'finish_time': 337.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 337.0, 'finish_time': 337.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 337.0, 'finish_time': 369.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 369, 'finish_time': 369, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 369, 'finish_time': 393.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 393.0, 'finish_time': 393.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 393.0, 'finish_time': 460.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 460.0, 'finish_time': 460.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 460.0, 'finish_time': 504.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 504.0, 'finish_time': 504.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 504.0, 'finish_time': 570.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 570.0, 'finish_time': 570.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 570.0, 'finish_time': 581.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 581.0, 'finish_time': 581.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 581.0, 'finish_time': 634.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 634.0, 'finish_time': 634.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 634.0, 'finish_time': 635.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 635.0, 'finish_time': 635.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 635.0, 'finish_time': 667.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 667.0, 'finish_time': 667.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 667.0, 'finish_time': 681.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 681.0, 'finish_time': 681.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 681.0, 'finish_time': 768.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 768.0, 'finish_time': 768.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 768.0, 'finish_time': 847.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 847.0, 'finish_time': 847.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 847.0, 'finish_time': 865.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 865.0, 'finish_time': 865.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 865.0, 'finish_time': 880.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 880.0, 'finish_time': 880.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 880.0, 'finish_time': 907.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 907.0, 'finish_time': 907.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 907.0, 'finish_time': 1008.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1008.0, 'finish_time': 1008.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1008.0, 'finish_time': 1022.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1022.0, 'finish_time': 1022.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1022.0, 'finish_time': 1026.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1026.0, 'finish_time': 1026.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1026.0, 'finish_time': 1110.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1110.0, 'finish_time': 1110.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1110.0, 'finish_time': 1149.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1149.0, 'finish_time': 1149.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1149.0, 'finish_time': 1150.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1150.0, 'finish_time': 1150.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1150.0, 'finish_time': 1200.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1200.0, 'finish_time': 1200.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1200.0, 'finish_time': 1243.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1243.0, 'finish_time': 1243.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1243.0, 'finish_time': 1271.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1271.0, 'finish_time': 1271.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1271.0, 'finish_time': 1272.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1272.0, 'finish_time': 1272.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1272.0, 'finish_time': 1319.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1319.0, 'finish_time': 1319.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1319.0, 'finish_time': 1385.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1385.0, 'finish_time': 1385.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1385.0, 'finish_time': 1404.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1404.0, 'finish_time': 1404.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1404.0, 'finish_time': 1463.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1463.0, 'finish_time': 1463.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1463.0, 'finish_time': 1512.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1512.0, 'finish_time': 1512.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1512.0, 'finish_time': 1565.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1565.0, 'finish_time': 1565.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1565.0, 'finish_time': 1615.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1615.0, 'finish_time': 1615.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1615.0, 'finish_time': 1698.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1698.0, 'finish_time': 1698.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1698.0, 'finish_time': 1729.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1729.0, 'finish_time': 1729.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1729.0, 'finish_time': 1807.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1807.0, 'finish_time': 1807.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1807.0, 'finish_time': 1902.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1902.0, 'finish_time': 1902.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1902.0, 'finish_time': 1944.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1944.0, 'finish_time': 1944.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 1944.0, 'finish_time': 2018.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2018.0, 'finish_time': 2018.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2018.0, 'finish_time': 2073.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2073.0, 'finish_time': 2073.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2073.0, 'finish_time': 2102.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2102.0, 'finish_time': 2102.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2102.0, 'finish_time': 2103.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2103.0, 'finish_time': 2103.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2103.0, 'finish_time': 2136.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2136.0, 'finish_time': 2136.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2136.0, 'finish_time': 2196.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2196.0, 'finish_time': 2196.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2196.0, 'finish_time': 2200.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2200.0, 'finish_time': 2200.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2200.0, 'finish_time': 2266.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2266.0, 'finish_time': 2266.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2266.0, 'finish_time': 2354.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2354.0, 'finish_time': 2354.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2354.0, 'finish_time': 2403.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2403.0, 'finish_time': 2403.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2403.0, 'finish_time': 2408.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2408.0, 'finish_time': 2408.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2408.0, 'finish_time': 2444.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2444.0, 'finish_time': 2444.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2444.0, 'finish_time': 2472.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2472.0, 'finish_time': 2472.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2472.0, 'finish_time': 2508.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2508.0, 'finish_time': 2508.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2508.0, 'finish_time': 2514.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2514.0, 'finish_time': 2514.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2514.0, 'finish_time': 2598.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2598.0, 'finish_time': 2598.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2598.0, 'finish_time': 2626.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2626.0, 'finish_time': 2626.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2626.0, 'finish_time': 2627.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2627.0, 'finish_time': 2627.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2627.0, 'finish_time': 2659.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2659.0, 'finish_time': 2659.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2659.0, 'finish_time': 2689.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2689.0, 'finish_time': 2689.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2689.0, 'finish_time': 2757.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2757.0, 'finish_time': 2757.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2757.0, 'finish_time': 2758.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2758.0, 'finish_time': 2758.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2758.0, 'finish_time': 2905.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2905.0, 'finish_time': 2905.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2905.0, 'finish_time': 2906.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2906.0, 'finish_time': 2906.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2906.0, 'finish_time': 2907.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2907.0, 'finish_time': 2907.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2907.0, 'finish_time': 2916.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2916.0, 'finish_time': 2916.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2916.0, 'finish_time': 2977.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2977.0, 'finish_time': 2977.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 2977.0, 'finish_time': 3040.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3040.0, 'finish_time': 3040.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3040.0, 'finish_time': 3069.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3069.0, 'finish_time': 3069.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3069.0, 'finish_time': 3093.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3093.0, 'finish_time': 3093.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3093.0, 'finish_time': 3144.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3144.0, 'finish_time': 3144.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3144.0, 'finish_time': 3195.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3195.0, 'finish_time': 3195.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3195.0, 'finish_time': 3221.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3221.0, 'finish_time': 3221.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3221.0, 'finish_time': 3288.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3288.0, 'finish_time': 3288.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3288.0, 'finish_time': 3309.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3309.0, 'finish_time': 3309.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3309.0, 'finish_time': 3406.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3406.0, 'finish_time': 3406.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3406.0, 'finish_time': 3426.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3426.0, 'finish_time': 3426.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3426.0, 'finish_time': 3450.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3450.0, 'finish_time': 3450.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3450.0, 'finish_time': 3451.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3451.0, 'finish_time': 3451.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3451.0, 'finish_time': 3471.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3471.0, 'finish_time': 3471.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3471.0, 'finish_time': 3543.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3543.0, 'finish_time': 3543.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3543.0, 'finish_time': 3574.0, 'dvfs_mode': 'base'}, {'state': 'active', 'start_time': 3574.0, 'finish_time': 3586.0, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 3586.0, 'finish_time': 3591.0, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 3591.0, 'finish_time': 3591.0, 'dvfs_mode': 'base'}]"
1,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 12, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 12, 'finish_time': 17, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 17, 'finish_time': 3591.0, 'dvfs_mode': 'base'}]"
2,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 12, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 12, 'finish_time': 17, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 17, 'finish_time': 3591.0, 'dvfs_mode': 'base'}]"
3,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 12, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 12, 'finish_time': 17, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 17, 'finish_time': 3591.0, 'dvfs_mode': 'base'}]"
4,"[{'state': 'active', 'dvfs_mode': 'base', 'start_time': 0, 'finish_time': 0}, {'state': 'active', 'start_time': 0, 'finish_time': 12, 'dvfs_mode': 'base'}, {'state': 'switching_off', 'start_time': 12, 'finish_time': 17, 'dvfs_mode': 'base'}, {'state': 'sleeping', 'start_time': 17, 'finish_time': 3591.0, 'dvfs_mode': 'base'}]"
