id,energy_consumption,energy_effective,energy_waste
0,629415.0,618030.0,11385.0
1,629415.0,618030.0,11385.0
2,629415.0,618030.0,11385.0
3,629415.0,618030.0,11385.0
4,629415.0,618030.0,11385.0
5,633636.0,618240.0,15396.0
6,622380.0,605640.0,16740.0
7,617154.0,605220.0,11934.0
8,616149.0,596820.0,19329.0
9,616149.0,596820.0,19329.0
10,613134.0,601230.0,11904.0
11,613134.0,601230.0,11904.0
12,635244.0,626640.0,8604.0
13,644490.0,636930.0,7560.0
14,611727.0,594930.0,16797.0
15,616149.0,598500.0,17649.0
16,622380.0,603960.0,18420.0
17,615747.0,597870.0,17877.0
18,597054.0,578760.0,18294.0
19,596652.0,574140.0,22512.0
20,611124.0,590520.0,20604.0
21,606903.0,584850.0,22053.0
22,565698.0,532770.0,32928.0
23,534744.0,509670.0,25074.0
24,532533.0,500850.0,31683.0
25,445500.0,399840.0,45660.0
26,290931.0,246750.0,44181.0
