dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,8.0,0,-1,
base,active,,0.0,11.0,1,-1,
base,active,,0.0,12.0,2,-1,
base,active,,0.0,13.0,3,-1,
base,active,,8.0,49.0,0,1,False
base,active,,11.0,46.0,1,2,True
base,active,,12.0,50.0,2,3,False
base,switching_off,,13.0,18.0,3,-2,
base,sleeping,,18.0,25.0,3,-4,
base,switching_on,,25.0,30.0,3,-3,
base,active,,30.0,47.0,3,4,True
base,active,,46.0,79.0,1,5,True
base,active,,47.0,60.0,3,-1,
base,active,,49.0,52.0,0,-1,
base,active,,50.0,57.0,2,-1,
base,active,,52.0,86.0,0,6,True
base,active,,57.0,112.0,2,7,False
base,switching_off,,60.0,65.0,3,-2,
base,sleeping,,65.0,77.0,3,-4,
base,switching_on,,77.0,82.0,3,-3,
base,active,,79.0,92.0,1,-1,
base,active,,82.0,135.0,3,8,True
base,active,,86.0,99.0,0,-1,
base,switching_off,,92.0,97.0,1,-2,
base,sleeping,,97.0,134.0,1,-4,
base,switching_off,,99.0,104.0,0,-2,
base,sleeping,,104.0,124.0,0,-4,
base,active,,112.0,116.0,2,-1,
base,active,,116.0,157.0,2,9,True
base,switching_on,,124.0,129.0,0,-3,
base,active,,129.0,170.0,0,10,True
base,switching_on,,134.0,139.0,1,-3,
base,active,,135.0,137.0,3,-1,
base,active,,137.0,191.0,3,12,False
base,active,,139.0,204.0,1,11,False
base,active,,157.0,228.0,2,13,False
base,active,,170.0,183.0,0,-1,
base,switching_off,,183.0,188.0,0,-2,
base,sleeping,,188.0,191.0,0,-4,
base,active,,191.0,196.0,3,-1,
base,switching_on,,191.0,196.0,0,-3,
base,active,,196.0,281.0,0 3,14,True
base,active,,204.0,241.0,1,15,False
base,active,,228.0,276.0,2,16,False
base,active,,241.0,276.0,1,23,True
base,active,,276.0,360.0,1 2,17,True
base,active,,281.0,327.0,3,19,True
base,active,,281.0,343.0,0,18,True
base,active,,327.0,381.0,3,20,True
base,active,,343.0,386.0,0,21,True
base,active,,360.0,427.0,1,22,True
base,active,,360.0,428.0,2,24,False
base,active,,381.0,387.0,3,25,True
base,active,,386.0,387.0,0,-1,
