dvfs_mode,state,submission_time,start_time,finish_time,nodes,job_id,terminated
base,active,,0.0,6.0,0 1 2 3 4 5,-1,
base,active,,0.0,20.0,6 7 8 9 10 11 12 13 14 15 16 17 18,-1,
base,active,,0.0,23.0,19 20 21 22 23 24,-1,
base,active,,0.0,26.0,25 26,-1,
base,active,,6.0,34.0,0 1 2 3 4 5,1,False
base,active,,20.0,120.0,6 7 8 9 10 11,2,True
base,active,,20.0,122.0,12 13 14 15 16 17 18,3,False
base,active,,23.0,89.0,19 20 21 22 23 24,4,True
base,switching_off,,26.0,31.0,25 26,-2,
base,sleeping,,31.0,120.0,25 26,-4,
base,active,,34.0,76.0,0 1 2 3 4 5,5,False
base,active,,76.0,166.0,0 1 2 3 4 5,6,False
base,active,,89.0,92.0,23,-1,
base,active,,89.0,92.0,19 20 21 22,10,True
base,active,,89.0,115.0,24,-1,
base,active,,92.0,127.0,19 20 21 22 23,11,False
base,switching_off,,115.0,120.0,24,-2,
base,active,,120.0,125.0,6 7 8 9 10 11,-1,
base,switching_on,,120.0,125.0,24 25 26,-3,
base,active,,122.0,181.0,12 13 14 15 16 17 18,8,True
base,active,,125.0,126.0,6 7 8 9 10 11 24 25 26,7,True
base,active,,126.0,127.0,24,-1,
base,active,,126.0,152.0,25 26,-1,
base,active,,126.0,177.0,6 7 8 9 10 11,9,False
base,active,,127.0,128.0,19 20 21 22 23 24,12,False
base,active,,128.0,171.0,19 20 21 22 23 24,13,False
base,switching_off,,152.0,157.0,25 26,-2,
base,sleeping,,157.0,171.0,25,-4,
base,sleeping,,157.0,201.0,26,-4,
base,active,,166.0,231.0,0 1 2 3 4 5,14,False
base,active,,171.0,176.0,19 20 21 22 23 24,-1,
base,switching_on,,171.0,176.0,25,-3,
base,active,,176.0,177.0,19 20 21 22 23 24 25,15,True
base,active,,177.0,278.0,6 7 8 9 10 11 19,16,True
base,active,,177.0,286.0,20 21 22 23 24 25,17,True
base,active,,181.0,201.0,12 13 14 15 16 17 18,18,True
base,active,,201.0,206.0,12 13 14 15 16 17 18,-1,
base,switching_on,,201.0,206.0,26,-3,
base,active,,206.0,311.0,12 13 14 15 16 17 18 26,19,True
base,active,,231.0,232.0,0 1 2 3 4 5,20,True
base,active,,232.0,257.0,0 1 2 3 4 5,-1,
base,switching_off,,257.0,262.0,0 1 2 3 4 5,-2,
base,sleeping,,262.0,269.0,0 1 2 3 4 5,-4,
base,switching_on,,269.0,274.0,0 1 2 3 4 5,-3,
base,active,,274.0,275.0,0 1 2 3 4 5,28,False
base,active,,275.0,278.0,0 1 2 3 4 5,-1,
base,active,,278.0,286.0,8 9 10 11 19,-1,
base,active,,278.0,426.0,0 1 2 3 4 5 6 7,21,True
base,active,,286.0,311.0,22 23,-1,
base,active,,286.0,312.0,24 25,-1,
base,active,,286.0,355.0,8 9 10 11 19 20 21,22,True
base,active,,311.0,312.0,12 13 14 15 16 17 18 22 23,23,True
base,active,,311.0,337.0,26,-1,
base,active,,312.0,313.0,22,-1,
base,active,,312.0,313.0,12 13 14 15 16 17 18,24,False
base,switching_off,,312.0,317.0,24 25,-2,
base,active,,312.0,337.0,23,-1,
base,active,,313.0,319.0,12 13 14 15 16 17 18 22,25,True
base,sleeping,,317.0,361.0,24 25,-4,
base,active,,319.0,339.0,22,-1,
base,active,,319.0,390.0,12 13 14 15 16 17 18,26,False
base,switching_off,,337.0,342.0,23 26,-2,
base,switching_off,,339.0,344.0,22,-2,
base,sleeping,,342.0,361.0,23 26,-4,
base,sleeping,,344.0,355.0,22,-4,
base,active,,355.0,360.0,8 9 10 11 19 20 21,-1,
base,switching_on,,355.0,360.0,22,-3,
base,active,,360.0,361.0,8 9 10 11 19 20 21 22,27,False
base,active,,361.0,366.0,22,-1,
base,switching_on,,361.0,366.0,23 24 25 26,-3,
base,active,,361.0,480.0,8 9 10 11 19 20 21,29,True
base,active,,366.0,479.0,22 23 24 25 26,35,True
base,active,,390.0,461.0,12 13 14 15 16 17 18,30,True
base,active,,426.0,452.0,6 7,-1,
base,active,,426.0,484.0,0 1 2 3 4 5,31,True
base,switching_off,,452.0,457.0,6 7,-2,
base,sleeping,,457.0,461.0,6,-4,
base,sleeping,,457.0,479.0,7,-4,
base,active,,461.0,466.0,12 13 14 15 16 17 18,-1,
base,switching_on,,461.0,466.0,6,-3,
base,active,,466.0,467.0,6 12 13 14 15 16 17 18,32,True
base,active,,467.0,468.0,6 12 13 14 15 16 17 18,34,False
base,active,,468.0,469.0,6 12 13 14 15 16 17 18,37,True
base,active,,469.0,481.0,6 12 13 14,39,True
base,active,,469.0,484.0,15 16 17 18,-1,
