time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing,nb_unavailable
0,0,0,0,4,0,0
19,0,0,0,1,3,0
30,0,0,1,0,3,0
35,1,0,0,0,3,0
75,1,0,0,0,3,0
122,1,0,0,0,3,0
173,0,1,0,1,2,0
178,0,0,0,0,4,0
224,0,0,0,2,2,0
225,0,0,0,1,3,0
255,0,0,1,0,3,0
260,1,0,0,0,3,0
277,1,0,0,0,3,0
326,1,0,0,0,3,0
381,1,0,0,0,3,0
432,1,0,0,0,3,0
479,1,0,0,3,0,0
509,1,0,3,0,0,0
514,4,0,0,0,0,0
