time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing,nb_unavailable
0,0,0,0,8,0,0
3,0,0,0,6,2,0
35,0,0,0,2,6,0
155,0,0,0,0,8,0
183,0,0,0,1,7,0
306,0,0,0,2,6,0
334,0,0,0,1,7,0
455,0,0,0,0,8,0
481,0,0,0,1,7,0
604,0,0,0,2,6,0
633,0,0,0,1,7,0
750,0,0,0,0,8,0
781,0,0,0,0,8,0
900,0,0,0,1,7,0
931,0,0,0,0,8,0
1047,0,0,0,0,8,0
1079,0,0,0,0,8,0
1082,0,0,0,0,8,0
1195,0,0,0,3,5,0
1229,0,0,0,1,7,0
1235,0,0,0,1,7,0
1380,0,0,0,5,3,0
1386,0,0,0,8,0,0
