time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing,nb_unavailable
0,0,0,0,8,0,0
1,0,0,0,1,7,0
152,0,0,0,0,8,0
154,0,0,0,0,8,0
298,0,0,0,0,8,0
303,0,0,0,0,8,0
448,0,0,0,1,7,0
450,0,0,0,0,8,0
453,0,0,0,1,7,0
597,0,0,0,0,8,0
601,0,0,0,3,5,0
603,0,0,0,0,8,0
748,0,0,0,1,7,0
755,0,0,0,1,7,0
899,0,0,0,0,8,0
904,0,0,0,0,8,0
1049,0,0,0,0,8,0
1053,0,0,0,2,6,0
1057,0,0,0,0,8,0
1199,0,0,0,1,7,0
1206,0,0,0,5,3,0
1349,0,0,0,8,0,0
